pickup_dow,total_trips,total_revenue,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_trips_per_day,avg_revenue_per_day,index_dow_trips
Monday,3737583,99891476.72,11.633333333333333,39.2,9.728413809021262,71876.59615384616,1920989.9369230769,85.5
Tuesday,4399704,115420104.85,12.55,38.46666666666667,8.82544075957516,84609.69230769231,2219617.4009615383,100.65
Wednesday,4648428,122395704.91,12.783333333333333,39.15,8.702250218701288,89392.84615384616,2353763.5559615386,106.34
Thursday,4738163,125914239.29,12.933333333333334,40.233333333333334,8.647306421970836,91118.51923076923,2421427.6786538465,108.39
Friday,4449017,116967781.79,12.3,39.93333333333333,9.048041248800812,85558.01923076923,2249380.4190384615,101.78
Saturday,4731939,122841063.91,12.1,37.88333333333333,9.805310120169523,90998.82692307692,2362328.1521153846,108.25
Sunday,3968969,108034185.09,11.466666666666667,39.666666666666664,10.914863758731359,74886.2075471698,2038380.8507547171,89.08
