PU_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
Hunts Point,669,21409.16,3893.09,26.85,67.26666666666668,10.023877357943643,1.0597907324364724,1.832876712328767
Inwood,1839,67386.41,14538.17,21.8,87.90166666666667,15.95728534550308,1.175095160413268,5.038356164383561
Inwood Hill Park,198,7190.07,1411.15,19.291666666666664,58.50833333333329,16.405026682367428,1.2222222222222223,0.5424657534246575
JFK Airport,1319779,105300150.44,21022180.64,39.61666666666667,74.63333333333334,24.04137275269566,1.5119713224714137,3615.832876712329
Jackson Heights,5719,180436.86,28711.77,17.916666666666668,54.27999999999992,11.38978417714911,1.2579122224165065,15.668493150684931
Jamaica,5269,281753.26,47493.62,27.816666666666666,67.74999999999991,16.33270657546543,1.212184475232492,14.435616438356165
Jamaica Bay,29,1940.45,386.88,34.11666666666667,73.7433333333333,22.74081170565082,1.5172413793103448,0.07945205479452055
Jamaica Estates,1446,49529.58,9757.64,26.916666666666664,75.625,11.348951352455764,1.0297372060857537,3.9616438356164383
Kensington,977,38739.93,7042.33,26.75,77.4433333333333,11.877913057541639,1.149437052200614,2.6767123287671235
Kew Gardens,2762,138792.01,16927.05,17.325,56.68249999999999,16.68489882315985,1.3247646632874728,7.567123287671233
Kew Gardens Hills,1363,41657.69,8140.16,22.033333333333335,67.5083333333333,11.162759545787315,1.0564930300807043,3.734246575342466
Kingsbridge Heights,1152,42009.78,8895.6,31.358333333333334,86.14666666666666,11.284045939207939,1.0755208333333333,3.1561643835616437
Kips Bay,347575,7838884.05,813890.54,10.833333333333334,30.45,9.671537858100631,1.3217463856721572,952.2602739726027
LaGuardia Airport,28260,1745061.8,273131.02,27.5,54.81666666666667,20.585933947724705,1.3240622788393488,77.42465753424658
Laurelton,1184,52850.26,12240.25,41.54166666666667,84.68749999999987,13.385953390670974,1.0380067567567568,3.243835616438356
Lenox Hill East,652427,15047275.74,1559180.27,11.433333333333334,29.766666666666666,9.418010012625807,1.3077217834332424,1787.4712328767123
