pickup_date,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,most_pickedup_place,most_visited_place,index_trips_100
2023-01-01,61883,1797097.81,250551.29,11.933333333333334,36.416666666666664,12.441094139818192,1.5562755522518301,JFK Airport,Upper East Side North,73.64
2023-01-02,51750,1466007.14,207986.53,10.666666666666666,36.3,12.090899086710639,1.5198647342995169,JFK Airport,Upper East Side North,61.58
2023-01-03,67505,1760645.5,219932.65,11.183333333333334,36.43333333333333,9.999750006249844,1.3869491148803792,JFK Airport,Upper East Side North,80.33
2023-01-04,75303,1935477.79,232310.1,11.433333333333334,34.5149999999999,9.762592727681968,1.3756025656348352,Upper East Side South,Upper East Side North,89.61
2023-01-05,80654,2024703.81,238318.27,11.316666666666666,33.18333333333333,9.706749109583283,1.3682892354997893,Upper East Side North,Upper East Side North,95.97
2023-01-06,81416,2013691.35,232983.29,11.15,32.8,9.636661531603803,1.3905497690871573,Upper East Side North,Upper East Side North,96.88
2023-01-07,89281,2199625.96,269058.57,10.883333333333333,31.483333333333334,10.748723470605464,1.4761371400409942,Upper East Side South,Upper East Side North,106.24
2023-01-08,70102,1843328.6,247439.01,10.283333333333333,33.916666666666664,11.920157834478015,1.4482611052466405,JFK Airport,Upper East Side North,83.42
2023-01-09,67275,1691291.18,204614.63,10.6,33.48833333333326,10.20686839484581,1.3322185061315497,Upper East Side North,Upper East Side North,80.05
2023-01-10,80261,1958155.03,220605.26,11.216666666666667,31.316666666666666,9.521367409417289,1.3247405340077996,Upper East Side South,Upper East Side North,95.51
2023-01-11,85335,2078612.51,233177.51,11.216666666666667,31.033333333333335,9.538363709090165,1.3278490654479405,Upper East Side South,Upper East Side North,101.54
2023-01-12,88265,2226034.57,250877.38,11.816666666666666,34.46666666666667,9.134246558986039,1.3264374327309805,Upper East Side South,Upper East Side North,105.03
2023-01-13,85472,2170117.26,251725.03,11.366666666666667,35.56666666666667,9.517188636271172,1.3860796518157994,Upper East Side South,Upper East Side North,101.71
2023-01-14,95693,2390910.7,284285.22,11.383333333333333,32.50666666666657,10.204627987767047,1.4753848243863188,East Village,Times Sq/Theatre District,113.87
2023-01-15,80842,2051472.74,260914.36,10.616666666666667,31.933333333333334,11.283354738883647,1.4741223621384925,JFK Airport,Times Sq/Theatre District,96.2
2023-01-16,66454,1708786.99,222627.18,10.008333333333333,34.13333333333333,11.256471694538005,1.400999187407831,JFK Airport,Upper East Side North,79.08
2023-01-17,80021,2020166.94,232282.43,11.35,33.86666666666667,9.547991376496677,1.3137301458367179,Upper East Side South,Upper East Side North,95.22
2023-01-18,84676,2123355.32,237442.3,11.666666666666666,33.4375,9.382646626499128,1.3182129529028297,Upper East Side South,Upper East Side North,100.76
2023-01-19,92344,2306908.95,246364.13,12.25,35.73083333333319,8.460724221549231,1.3166854370614225,Upper East Side South,Upper East Side North,109.88
2023-01-20,86378,2149644.3,243379.33,11.483333333333333,33.38333333333333,9.382669715211282,1.3639005302276042,Upper East Side South,Upper East Side North,102.78
2023-01-21,96100,2327947.71,275724.46,11.033333333333333,30.716666666666665,10.384435653998295,1.447544224765869,East Village,Upper East Side North,114.35
2023-01-22,74649,1914522.05,247190.79,10.416666666666666,33.75,11.422997840784179,1.4300392503583437,JFK Airport,Upper East Side North,88.83
2023-01-23,71442,1759219.74,206128.85,10.583333333333334,33.08249999999995,9.773074972268386,1.3191819937851683,Upper East Side South,Upper East Side North,85.01
2023-01-24,82991,2024492.03,222139.92,11.483333333333333,31.533333333333335,9.245719756332663,1.315937872781386,Upper East Side South,Upper East Side North,98.75
2023-01-25,88238,2137520.48,228623.41,11.616666666666667,32.18333333333333,8.785643686854836,1.3001767945782996,Upper East Side South,Upper East Side South,105.0
2023-01-26,91161,2271555.75,252645.08,11.833333333333334,32.78333333333333,9.152491604052734,1.3176797095249064,Upper East Side South,Upper East Side North,108.48
2023-01-27,87810,2162939.9,242681.75,11.45,32.78333333333333,9.371016036058005,1.3708233686368294,Upper East Side South,Upper East Side North,104.49
2023-01-28,95808,2329419.75,269560.54,11.533333333333333,32.166666666666664,10.031549182654034,1.453563376753507,Upper East Side South,Upper East Side South,114.01
2023-01-29,73140,1874606.05,242016.0,10.7,32.200833333333385,11.487391324577274,1.422778233524747,JFK Airport,Upper East Side North,87.03
2023-01-30,66173,1658727.24,197258.21,10.916666666666666,34.11666666666667,9.956870801196205,1.3143427077508953,Upper East Side South,Upper East Side North,78.74
2023-01-31,80762,2011120.26,215239.82,11.8,36.4,8.869693251634748,1.3063445679898962,Upper East Side South,Upper East Side North,96.1
2023-02-01,86624,2118044.99,234840.89,11.566666666666666,32.8,9.288211604701164,1.3088405060953086,Midtown Center,Upper East Side North,103.08
2023-02-02,90696,2227245.21,246763.91,11.65,33.18333333333333,9.167501426871,1.3133434771103467,Upper East Side South,Upper East Side North,107.92
2023-02-03,91646,2197028.24,245740.85,11.1,32.579166666666666,9.17835998007451,1.3456015538048578,Upper East Side North,Upper East Side North,109.05
2023-02-04,84486,2012798.94,236918.96,11.0,30.733333333333334,10.128444869987199,1.440321473380205,Upper East Side North,Upper East Side North,100.53
2023-02-05,69878,1808741.07,235220.05,10.783333333333333,33.65,11.364325032545178,1.4246114656973583,JFK Airport,Upper East Side North,83.15
2023-02-06,71973,1804871.79,214418.12,10.933333333333334,34.516666666666666,9.968232871464823,1.3242604865713532,Upper East Side South,Upper East Side North,85.64
2023-02-07,85565,2086553.2,229968.44,11.516666666666667,32.86666666666667,9.213833327605155,1.3087360486180097,Midtown Center,Upper East Side North,101.82
2023-02-08,86773,2141548.22,236048.8,11.883333333333333,33.123333333333235,9.119244728599377,1.3141645442706833,Midtown Center,Upper East Side North,103.25
2023-02-09,91654,2330279.05,259429.16,12.283333333333333,35.43333333333333,8.954271085798862,1.3085735483448622,Midtown Center,Upper East Side North,109.06
2023-02-10,89397,2259634.67,255545.74,11.883333333333333,35.5,9.220096126120785,1.363088246809177,Upper East Side South,Upper East Side North,106.38
2023-02-11,98199,2443913.83,284343.55,12.0,34.38333333333333,9.74432793272504,1.457835619507327,East Village,Upper East Side North,116.85
2023-02-12,78374,2002178.07,262607.54,10.533333333333333,33.21666666666667,11.576213414650425,1.425434455304055,JFK Airport,Upper East Side North,93.26
2023-02-13,74359,1858489.52,220967.88,11.1,33.28333333333333,9.899978785759746,1.338708159066152,Upper East Side South,Upper East Side North,88.48
2023-02-14,86981,2173013.82,235628.24,12.466666666666667,34.7,8.628453978116749,1.3396833791287752,Upper East Side South,Upper East Side North,103.5
2023-02-15,87709,2280501.3,262436.27,12.0,35.333333333333336,9.476524874818798,1.3270930007182844,Midtown Center,Upper East Side North,104.37
2023-02-16,89905,2278412.99,254020.92,12.133333333333333,35.483333333333334,8.949955250223748,1.3051331961514931,Midtown Center,Upper East Side North,106.98
2023-02-17,87160,2190114.84,248059.93,11.533333333333333,36.08416666666672,9.171773069564617,1.3795204222120239,Upper East Side North,Upper East Side North,103.72
2023-02-18,89301,2251413.69,269205.39,11.716666666666667,34.15,10.172230441145393,1.4896921647014032,Midtown Center,Times Sq/Theatre District,106.26
2023-02-19,74704,1936101.89,248367.77,11.233333333333333,33.64749999999985,11.194942739280616,1.4783813450417649,JFK Airport,Times Sq/Theatre District,88.89
2023-02-20,65882,1735596.98,233392.23,10.316666666666666,35.266666666666666,11.53918004044991,1.4246531677848273,JFK Airport,Upper East Side North,78.4
2023-02-21,79192,2005295.55,232857.76,11.55,35.0,9.468399763728357,1.3375846045055055,Midtown Center,Midtown Center,94.23
2023-02-22,88939,2239240.88,246018.48,12.133333333333333,34.701666666666526,8.92553131704479,1.3397047414520065,Midtown Center,Upper East Side North,105.83
2023-02-23,91398,2336065.84,264503.67,12.166666666666666,35.13333333333333,9.149792995542475,1.3354668592310555,Upper East Side South,Upper East Side North,108.76
2023-02-24,90370,2274620.92,259083.38,11.633333333333333,34.53333333333333,9.272252599539044,1.3779794179484341,Upper East Side South,Upper East Side North,107.53
2023-02-25,96621,2398475.95,284223.58,11.516666666666667,32.61666666666667,10.10585776115091,1.4570331501433436,East Village,Upper East Side North,114.97
2023-02-26,74888,1962917.01,257209.7,10.8,34.094166666666574,11.488428879835975,1.439456254673646,JFK Airport,Upper East Side North,89.11
2023-02-27,72817,1856973.25,223517.57,11.066666666666666,36.56666666666667,9.788189232050673,1.3314198607468037,Upper East Side South,Upper East Side North,86.65
2023-02-28,80785,1999283.48,232763.45,11.0,31.883333333333333,9.685942289720883,1.319886117472303,Upper East Side South,Upper East Side North,96.13
2023-03-01,91488,2333552.53,261444.11,12.083333333333334,35.666666666666664,9.076783434101014,1.3143800279818119,Midtown Center,Upper East Side North,108.87
2023-03-02,93931,2404916.1,269572.67,12.15,35.9,9.066636444545187,1.3166260340036835,Midtown Center,Upper East Side North,111.77
2023-03-03,90933,2266060.71,256188.27,11.566666666666666,34.773333333333234,9.200744173064862,1.3634434143820175,Upper East Side South,Upper East Side North,108.2
2023-03-04,96698,2400437.66,284080.05,11.516666666666667,33.46666666666667,9.972199723216058,1.4487993546919276,Upper East Side North,Upper East Side North,115.06
2023-03-05,80117,2112246.8,272506.57,11.033333333333333,36.01999999999995,11.15137998327293,1.4294219703683364,JFK Airport,Upper East Side North,95.33
2023-03-06,72885,1881798.35,221656.42,11.416666666666666,36.95,9.579783631343036,1.3296151471496194,Upper East Side South,Upper East Side North,86.73
2023-03-07,90068,2232882.2,242817.02,11.783333333333333,33.483333333333334,9.02811128150278,1.3223453390771418,Upper East Side South,Upper East Side South,107.18
2023-03-08,93024,2378094.7,254714.5,12.35,35.75,8.730325733382713,1.3216804265565876,Midtown Center,Upper East Side North,110.69
2023-03-09,95774,2460535.55,270405.62,12.35,36.2,8.903139647035674,1.3203896673418674,Midtown Center,Upper East Side North,113.97
2023-03-10,94937,2416538.02,270362.77,11.966666666666667,38.25,8.950939703479252,1.3669907412283935,Upper East Side South,Upper East Side North,112.97
2023-03-11,94534,2338697.64,279318.04,11.3,33.083333333333336,10.135233336170018,1.4577189159455857,Upper East Side South,Upper East Side North,112.49
2023-03-12,78056,2055134.28,269958.23,10.816666666666666,38.5,11.35707187545269,1.4498693245874756,JFK Airport,Upper East Side North,92.88
2023-03-13,78620,2003193.58,232145.49,11.5,36.483333333333334,9.214993476981569,1.3441363520732639,Midtown Center,Upper East Side North,93.55
2023-03-14,86122,2146027.85,241123.55,11.566666666666666,33.583333333333336,9.228264927296907,1.3381365969206473,Midtown Center,Upper East Side North,102.48
2023-03-15,94629,2473418.11,270813.86,12.683333333333334,38.9,8.727251570299225,1.3319489796996693,Midtown Center,Upper East Side North,112.6
2023-03-16,97072,2573212.32,283521.49,13.05,39.5,8.635704749716588,1.3361113400362616,Upper East Side South,Upper East Side North,115.51
2023-03-17,86623,2324178.76,261865.89,12.633333333333333,42.45,9.090853994824274,1.3884995901781283,Upper East Side North,Upper East Side North,103.08
2023-03-18,103072,2627895.23,316552.04,11.783333333333333,35.36666666666667,10.120372188867513,1.4649371313256752,East Village,Upper East Side North,122.65
2023-03-19,82748,2251628.4,291584.95,11.0,39.9,11.030762771099022,1.4393338811814183,JFK Airport,Upper East Side North,98.47
2023-03-20,70282,1861137.83,230391.45,11.083333333333334,40.38333333333333,10.152556320919079,1.3341822941862782,JFK Airport,Midtown Center,83.63
2023-03-21,79924,2060641.97,237053.22,11.916666666666666,36.86666666666667,9.444832444725936,1.3292627996596766,Midtown Center,Midtown Center,95.1
2023-03-22,82999,2160417.62,243352.44,12.2,37.0,9.303295523901378,1.315365245364402,Midtown Center,Midtown Center,98.76
2023-03-23,89349,2341184.21,267035.82,12.266666666666667,38.74333333333319,9.220617999387473,1.330356243494611,Midtown Center,Midtown Center,106.32
2023-03-24,85683,2205877.77,259640.11,11.55,36.833333333333336,9.762672151842095,1.378534831880303,Midtown Center,Upper East Side North,101.96
2023-03-25,98534,2447674.01,293002.16,11.383333333333333,33.583333333333336,9.952167480381695,1.4534881360748575,East Village,Times Sq/Theatre District,117.25
2023-03-26,77195,2116735.32,278942.86,11.583333333333334,38.38833333333338,11.11758820100364,1.4574648617138415,JFK Airport,Upper East Side North,91.86
2023-03-27,74198,1935283.1,235447.19,11.2,38.61666666666667,9.847916557751951,1.345022776894256,Midtown Center,Upper East Side North,88.29
2023-03-28,82746,2131715.51,243171.98,12.1,35.62916666666666,9.309000062609428,1.32745993764049,Midtown Center,Midtown Center,98.46
2023-03-29,87497,2277805.6,259253.76,12.216666666666667,37.16999999999995,9.341250242513228,1.3303998994251232,Midtown Center,Midtown Center,104.12
2023-03-30,93722,2466450.91,279101.54,12.283333333333333,40.333333333333336,9.159380466480979,1.3336463156996223,Midtown Center,Midtown Center,111.52
2023-03-31,89286,2333694.88,274012.13,11.8,38.89583333333333,9.522780702233948,1.384965168111462,Upper East Side South,Upper East Side North,106.25
2023-04-01,99177,2510256.03,305214.49,11.55,35.4,10.101383985127324,1.4685461346884863,JFK Airport,Upper East Side North,118.01
2023-04-02,82806,2228259.4899999998,293445.64,11.1,37.416666666666664,11.138360924155801,1.472888438035891,JFK Airport,Upper East Side North,98.53
2023-04-03,76557,2010819.72,239180.67,11.8,39.18333333333333,9.54339564620865,1.3669292161396085,Upper East Side South,Upper East Side North,91.1
2023-04-04,86279,2182557.81,252112.88,11.533333333333333,34.50166666666652,9.571545255583512,1.3681660659024792,Upper East Side South,Upper East Side North,102.67
2023-04-05,93165,2408867.86,263331.65,12.433333333333334,39.25,8.592724548081366,1.3664788278860087,Upper East Side South,Upper East Side North,110.86
2023-04-06,85300,2205053.47,258781.56,11.766666666666667,35.416666666666664,9.6697867736758,1.4002227432590857,Midtown Center,Upper East Side North,101.5
2023-04-07,83247,2085338.98,248623.81,11.033333333333333,32.86666666666667,10.28567263394659,1.457013465950725,Midtown Center,Upper East Side North,99.06
2023-04-08,87174,2159816.94,262086.53,11.216666666666667,32.516666666666666,10.557940061081698,1.52007479294285,Midtown Center,Times Sq/Theatre District,103.73
2023-04-09,73405,1956928.35,259425.39,10.883333333333333,38.76333333333338,11.567024069920592,1.515101151147742,JFK Airport,Upper East Side North,87.35
2023-04-10,69643,1848133.3,228505.68,11.333333333333334,39.681666666666565,10.147184443569124,1.3963355972603133,Midtown Center,Upper East Side North,82.87
2023-04-11,82946,2157414.03,249758.96,12.15,35.3,9.42104405755293,1.3635738914474478,Midtown Center,Upper East Side North,98.7
2023-04-12,89681,2302582.76,261757.11,12.116666666666667,34.11666666666667,9.384567258629444,1.3636444731883008,Midtown Center,Upper East Side North,106.72
2023-04-13,96274,2530952.33,287063.83,12.583333333333334,37.583333333333336,9.23072764177667,1.369445540852151,Upper East Side South,Upper East Side South,114.56
2023-04-14,96860,2519619.2,292604.54,11.95,37.31666666666667,9.521677032541092,1.4096944042948585,Upper East Side South,Upper East Side North,115.26
2023-04-15,101577,2657977.85,319394.06,12.083333333333334,38.6,10.153611839726775,1.468373746025183,Upper East Side South,Upper East Side North,120.87
2023-04-16,81374,2216453.54,296241.67,11.066666666666666,38.516666666666666,11.423050562191012,1.461928871629759,JFK Airport,Upper East Side North,96.83
2023-04-17,76454,2041729.28,250716.35,11.516666666666667,39.48916666666652,9.86472445002644,1.335862087006566,Upper East Side South,Upper East Side North,90.98
2023-04-18,91637,2412448.39,270490.85,12.516666666666667,39.053333333333285,8.92900730540827,1.3227735521677926,Upper East Side South,Upper East Side North,109.04
2023-04-19,93928,2479001.95,275126.73,12.816666666666666,39.06666666666667,8.899071858255205,1.3148049569883316,Upper East Side South,Upper East Side North,111.77
2023-04-20,98755,2675117.57,295510.85,13.166666666666666,43.016666666666666,8.711632164143094,1.338149967090274,Upper East Side South,Upper East Side North,117.51
2023-04-21,89733,2350168.68,281892.21,11.566666666666666,39.72333333333324,9.975176608922922,1.372237638327037,Upper East Side South,Upper East Side North,106.78
2023-04-22,101446,2608035.13,315222.55,12.05,38.65,9.941245336361963,1.4590225341561027,Upper East Side South,Upper East Side North,120.71
2023-04-23,80913,2283415.58,306650.6,11.666666666666666,46.45,11.14018276728969,1.4384585913264865,JFK Airport,Upper East Side North,96.28
2023-04-24,77587,2103993.95,252962.83,12.15,39.78333333333333,9.424061566347097,1.3349787979945094,Upper East Side South,Upper East Side North,92.32
2023-04-25,89830,2401738.84,267306.79,13.15,38.5,8.60551597637945,1.3213848380273852,Upper East Side South,Upper East Side South,106.89
2023-04-26,95600,2555115.1,278888.28,13.15,39.634166666666715,8.62175092983963,1.3140899581589958,Upper East Side South,Upper East Side South,113.76
2023-04-27,98267,2681951.65,297195.66,13.4,42.333333333333336,8.530079373111455,1.3262743342118921,Upper East Side South,Upper East Side North,116.93
2023-04-28,96439,2560063.73,288523.63,12.683333333333334,41.36666666666667,8.571346939552956,1.3675587677184542,Upper East Side South,Upper East Side North,114.76
2023-04-29,95249,2506765.4,289141.41,12.616666666666667,41.38333333333333,8.943699691689236,1.437673886340014,Upper East Side South,Upper East Side North,113.34
2023-04-30,78900,2208594.76,281147.88,12.1,46.983333333333334,10.066423615208823,1.426894803548796,JFK Airport,Upper East Side North,93.89
2023-05-01,77367,2163760.97,265739.36,12.416666666666666,41.91166666666662,9.374912110198967,1.3208086134915402,JFK Airport,Upper East Side South,92.06
2023-05-02,92255,2433897.27,267944.01,12.9,38.483333333333334,8.497977497291844,1.3111376077177388,Upper East Side South,Upper East Side North,109.78
2023-05-03,95327,2523446.42,275845.15,12.9,38.994999999999955,8.600629757223333,1.307268664701501,Upper East Side South,Upper East Side North,113.43
2023-05-04,101160,2701451.57,293033.54,13.2,40.450833333333144,8.421017174664527,1.313869118228549,Upper East Side South,Upper East Side North,120.37
2023-05-05,95502,2517780.37,287238.31,12.366666666666667,40.016666666666666,9.010248857726886,1.3647148750811502,Upper East Side South,Upper East Side North,113.64
2023-05-06,104409,2698248.15,320614.76,12.35,36.733333333333334,9.787146331102921,1.4500569874244558,Upper East Side South,Upper East Side North,124.24
2023-05-07,83837,2329492.22,309738.68,11.333333333333334,43.653333333333286,11.16322901353312,1.4418335579755954,JFK Airport,Upper East Side North,99.76
2023-05-08,76748,2072095.73,247992.39,12.066666666666666,38.9,9.486953661444481,1.328490644707354,Upper East Side South,Upper East Side North,91.33
2023-05-09,91861,2422726.85,267072.36,12.833333333333334,38.45,8.70550307281499,1.3124938766179337,Upper East Side South,Upper East Side North,109.31
2023-05-10,96226,2626559.18,279629.49,13.7,43.3,8.225181646303916,1.3095109429883816,Upper East Side South,Upper East Side South,114.5
2023-05-11,102627,2777199.09,306744.78,13.266666666666667,41.528333333333286,8.626839919880837,1.3186685764954642,Upper East Side South,Upper East Side South,122.12
2023-05-12,98880,2663064.89,300093.4,12.85,43.6,8.756710668806045,1.3698624595469255,Upper East Side South,Upper East Side South,117.66
2023-05-13,104994,2753073.15,328488.94,12.55,39.38333333333333,9.575998360222862,1.4579214050326685,Upper East Side South,Upper East Side North,124.94
