QuyTacQA,SoLuongViPham,Month
FLAG_FIXED_MISSINGS_PASSENGER,99887,2023-06
FLAG_FIXED_PAYMENT_TYPE,74854,2023-06
FLAG_DISTANCE_ZERO_OR_NEG,47472,2023-06
FLAG_DURATION_TOO_SHORT,36007,2023-06
FLAG_INVALID_IMPROVEMENT_SURCHANGE,33819,2023-06
FLAG_FARE_AMOUNT_INVALID,33365,2023-06
FLAG_INVALID_MTA_TAX,30185,2023-06
FLAG_INVALID_CONGESTION_IMPROVEMENT,24854,2023-06
FLAG_SPEED_TOO_HIGH,5734,2023-06
FLAG_INVALID_AIRPORT_FEE,4084,2023-06
FLAG_NEGATIVE_TOLLS_AMOUNT,2099,2023-06
FLAG_FIXED_TIME_SWAPPED,189,2023-06
FLAG_DISTANCE_EXTREME,116,2023-06
FLAG_NEGATIVE_TIP_AMOUNT,107,2023-06
FLAG_DURATION_TOO_LONG,15,2023-06
FLAG_FIXED_TOTAL_AMOUNT,761612,2023-07
FLAG_INVALID_EXTRA,485314,2023-07
FLAG_FIXED_MISSINGS_RatecodeID,85086,2023-07
FLAG_FIXED_MISSINGS_PASSENGER,85086,2023-07
FLAG_FIXED_PAYMENT_TYPE,59368,2023-07
FLAG_DISTANCE_ZERO_OR_NEG,49790,2023-07
FLAG_DURATION_TOO_SHORT,34029,2023-07
FLAG_FARE_AMOUNT_INVALID,32896,2023-07
FLAG_INVALID_IMPROVEMENT_SURCHANGE,32665,2023-07
FLAG_INVALID_MTA_TAX,29952,2023-07
FLAG_INVALID_CONGESTION_IMPROVEMENT,24522,2023-07
FLAG_SPEED_TOO_HIGH,5519,2023-07
FLAG_INVALID_AIRPORT_FEE,4574,2023-07
FLAG_NEGATIVE_TOLLS_AMOUNT,2202,2023-07
FLAG_FIXED_TIME_SWAPPED,162,2023-07
FLAG_NEGATIVE_TIP_AMOUNT,123,2023-07
FLAG_DISTANCE_EXTREME,106,2023-07
FLAG_DURATION_TOO_LONG,13,2023-07
FLAG_FIXED_TOTAL_AMOUNT,726882,2023-08
FLAG_INVALID_EXTRA,480713,2023-08
FLAG_FIXED_MISSINGS_RatecodeID,87886,2023-08
FLAG_FIXED_MISSINGS_PASSENGER,87886,2023-08
FLAG_DISTANCE_ZERO_OR_NEG,57429,2023-08
FLAG_FIXED_PAYMENT_TYPE,48614,2023-08
FLAG_FARE_AMOUNT_INVALID,32867,2023-08
FLAG_INVALID_IMPROVEMENT_SURCHANGE,32769,2023-08
FLAG_DURATION_TOO_SHORT,31382,2023-08
FLAG_INVALID_MTA_TAX,30049,2023-08
FLAG_INVALID_CONGESTION_IMPROVEMENT,24441,2023-08
FLAG_SPEED_TOO_HIGH,5173,2023-08
FLAG_INVALID_AIRPORT_FEE,5064,2023-08
FLAG_NEGATIVE_TOLLS_AMOUNT,2412,2023-08
FLAG_FIXED_TIME_SWAPPED,146,2023-08
FLAG_NEGATIVE_TIP_AMOUNT,96,2023-08
FLAG_DISTANCE_EXTREME,89,2023-08
FLAG_DURATION_TOO_LONG,23,2023-08
